species,country,year,variety,colour,processing_method,aroma,flavour,aftertaste,acidity,body,balance,uniformity,sweetness,moisture
Arabica,Brazil,2011,Bourbon,Blue-Green,Semi-washed / Semi-pulped,8.0,8.0,8.0,7.67,7.75,8.0,10.0,10.0,0.11
Arabica,El Salvador,2009,,,,8.08,7.83,7.83,8.08,7.83,7.83,10.0,10.0,0.01
Arabica,China,2015,Catimor,Green,Natural / Dry,8.0,8.0,8.0,7.83,7.83,7.75,10.0,10.0,0.1
Arabica,Guatemala,2014,Pacamara,Green,Natural / Dry,7.83,7.75,7.83,7.67,7.83,8.58,10.0,10.0,0.11
Arabica,Costa Rica,2014,Caturra,Bluish-Green,Washed / Wet,7.92,8.08,8.0,7.92,8.0,8.08,10.0,9.33,0.0
Arabica,Costa Rica,2014,Caturra,Bluish-Green,Washed / Wet,8.0,7.58,7.58,7.67,8.08,8.5,10.0,10.0,0.1
Arabica,Kenya,2012,SL34,Green,Washed / Wet,7.83,8.08,7.75,8.08,7.92,7.75,10.0,10.0,0.0
Arabica,Kenya,2012,SL34,Green,Washed / Wet,8.0,7.92,7.92,8.08,7.83,7.75,10.0,10.0,0.0
Arabica,Ethiopia,2009,,,,7.83,7.83,7.92,8.08,7.75,7.83,10.0,10.0,0.05
Arabica,Ethiopia,2009,Typica,,,7.92,7.83,7.75,8.33,7.75,7.75,10.0,10.0,0.1
Arabica,Guatemala,2016,Bourbon,Green,,8.0,7.92,7.75,8.0,7.92,7.83,10.0,10.0,0.1
Arabica,Colombia,2015,Caturra,Green,Washed / Wet,8.17,7.92,7.83,8.0,7.58,7.83,10.0,10.0,0.11
Arabica,Colombia,2014,Caturra,Green,Natural / Dry,7.58,8.08,7.92,7.83,8.0,7.92,10.0,10.0,0.12
Arabica,Indonesia,2012,Sumatra Lintong,Green,Semi-washed / Semi-pulped,7.75,7.83,7.67,8.0,8.08,7.83,10.0,10.0,0.11
Arabica,Guatemala,2012,Caturra,,Washed / Wet,8.25,8.0,7.67,7.92,7.75,7.67,10.0,10.0,0.0
Arabica,Ethiopia,2016,Other,Green,Natural / Dry,7.75,8.0,7.58,8.0,8.0,7.92,10.0,10.0,0.11
Arabica,Colombia,2015,Caturra,,Natural / Dry,8.17,7.83,7.58,8.08,8.0,7.75,10.0,10.0,0.0
Arabica,Ethiopia,2014,,Green,Natural / Dry,8.42,8.0,7.42,8.0,7.92,7.92,9.33,10.0,0.1
Arabica,United States,2014,Hawaiian Kona,Bluish-Green,Natural / Dry,7.58,7.83,7.83,7.92,7.83,8.17,10.0,10.0,0.11
Arabica,Colombia,2012,Caturra,Green,Natural / Dry,7.83,8.0,7.75,7.75,7.83,7.83,10.0,10.0,0.11
Arabica,United States,2010,,,,8.08,8.17,7.92,8.0,8.08,8.0,9.33,10.0,0.01
Arabica,Ethiopia,2010,,,,7.67,8.0,7.83,8.0,7.92,7.83,10.0,10.0,0.0
Arabica,United States,,,,,7.5,7.92,8.25,7.83,7.92,7.75,10.0,10.0,0.0
Arabica,Uganda,2016,SL14,Green,Washed / Wet,8.17,7.92,7.75,7.75,7.67,7.75,10.0,10.0,0.11
Arabica,Colombia,2016,Caturra,Green,Washed / Wet,8.0,7.92,7.75,7.92,7.75,7.83,10.0,10.0,0.0
Arabica,Costa Rica,2016,Catuai,Green,Washed / Wet,7.83,8.0,7.58,7.92,7.92,7.83,10.0,10.0,0.12
Arabica,Mexico,2015,Typica,Green,Washed / Wet,7.83,8.0,7.83,7.75,7.67,7.83,10.0,10.0,0.09
Arabica,Kenya,2015,,Green,Washed / Wet,8.17,7.83,7.92,7.75,7.67,7.83,10.0,10.0,0.11
Arabica,Kenya,2012,SL34,Green,Washed / Wet,7.75,7.83,7.75,8.08,8.0,7.75,10.0,10.0,0.0
Arabica,Brazil,2012,Mundo Novo,Green,Natural / Dry,8.0,8.0,7.83,7.83,7.67,7.67,10.0,10.0,0.12
Arabica,Mexico,2010,Pacamara,,,7.92,8.17,7.75,8.08,7.42,7.83,10.0,10.0,0.0
Arabica,United States,,,,,7.75,7.92,7.75,7.75,8.0,8.0,10.0,10.0,0.0
Arabica,Guatemala,2009,,,,7.83,8.08,7.67,8.0,7.75,7.67,10.0,10.0,0.04
Arabica,Colombia,2016,Caturra,,Washed / Wet,7.92,7.92,7.67,7.83,7.92,7.83,10.0,10.0,0.0
Arabica,Colombia,2015,Caturra,Green,Washed / Wet,7.92,7.83,7.75,7.83,7.75,8.0,10.0,10.0,0.12
Arabica,Taiwan,2015,Typica,Green,Semi-washed / Semi-pulped,7.67,7.83,8.0,7.58,8.0,7.92,10.0,10.0,0.11
Arabica,Tanzania,2014,Other,Green,Washed / Wet,8.0,7.83,7.83,7.92,7.75,7.75,10.0,10.0,0.12
Arabica,Colombia,2012,Caturra,Green,Washed / Wet,7.75,7.92,7.83,7.75,7.75,8.0,10.0,10.0,0.11
Arabica,Mexico,2012,Typica,,Semi-washed / Semi-pulped,7.75,8.0,7.75,7.83,7.5,7.92,10.0,10.0,0.11
Arabica,Brazil,2011,Bourbon,Green,Natural / Dry,8.0,7.92,7.75,7.75,8.0,7.75,10.0,10.0,0.11
Arabica,Brazil,2011,Catuai,Green,Natural / Dry,8.0,8.0,7.75,8.0,7.5,7.75,10.0,10.0,0.12
Arabica,Kenya,2009,,,,8.0,7.67,7.83,8.17,7.92,7.75,10.0,10.0,0.06
Arabica,Taiwan,2016,Typica,Green,Natural / Dry,7.92,7.58,7.83,7.83,7.83,7.83,10.0,10.0,0.0
Arabica,Uganda,2013,SL14,Green,Natural / Dry,7.75,7.92,7.67,7.67,8.25,7.75,10.0,10.0,0.12
Arabica,United States,2012,Hawaiian Kona,,Natural / Dry,7.67,7.75,7.75,7.75,7.83,8.0,10.0,10.0,0.0
Arabica,Ethiopia,2009,,,,7.75,7.92,7.83,7.92,7.75,7.67,10.0,10.0,0.1
Arabica,Ethiopia,2009,,,,7.42,7.92,7.92,8.0,7.83,7.83,10.0,10.0,0.1
Arabica,Thailand,2015,Caturra,Green,Pulped natural / honey,7.75,7.75,7.75,7.75,8.0,7.75,10.0,10.0,0.12
Arabica,Kenya,2014,SL34,Green,Washed / Wet,7.92,7.83,7.58,7.92,7.75,7.83,10.0,10.0,0.13
Arabica,Honduras,2014,Catuai,Green,Washed / Wet,7.83,7.75,8.0,7.67,7.67,7.67,10.0,10.0,0.11
Arabica,El Salvador,2010,,,,7.75,8.0,8.0,8.33,7.67,7.92,10.0,9.33,0.15
Arabica,Nicaragua,2009,,,,7.83,7.58,7.58,7.83,7.75,7.67,10.0,10.0,0.18
Arabica,El Salvador,2016,Bourbon,Blue-Green,Washed / Wet,7.83,7.83,7.5,8.0,7.83,7.67,10.0,10.0,0.0
Arabica,Indonesia,2016,Java,Green,Washed / Wet,7.92,7.83,7.75,7.75,7.75,7.75,10.0,10.0,0.12
Arabica,Japan,,Mundo Novo,Green,Pulped natural / honey,7.75,7.75,7.75,7.42,8.08,7.83,10.0,10.0,0.12
Arabica,Costa Rica,2015,Catuai,Blue-Green,Washed / Wet,8.08,7.75,7.67,7.83,7.5,7.92,10.0,10.0,0.1
Arabica,Guatemala,2015,Bourbon,Green,Washed / Wet,7.75,7.83,7.58,8.0,7.92,7.75,10.0,10.0,0.1
Arabica,Costa Rica,2014,Caturra,Green,Washed / Wet,8.17,8.0,7.83,7.17,7.83,7.75,10.0,10.0,0.12
Arabica,Ethiopia,2014,Ethiopian Yirgacheffe,,Washed / Wet,8.08,7.83,7.75,7.83,7.58,7.67,10.0,10.0,0.1
Arabica,Costa Rica,2014,Other,Green,Other,7.67,7.58,7.75,7.75,7.67,8.58,10.0,10.0,0.08
Arabica,Costa Rica,2014,Catuai,Green,Washed / Wet,8.0,7.58,7.83,7.75,7.75,7.75,10.0,10.0,0.11
Arabica,Costa Rica,2012,,Green,Washed / Wet,8.08,7.83,7.75,7.83,7.92,8.0,10.0,9.33,0.0
Arabica,Taiwan,2013,Typica,Green,Washed / Wet,8.0,7.92,7.75,7.75,7.75,7.75,10.0,10.0,0.11
Arabica,Colombia,2013,Caturra,Green,Washed / Wet,7.75,7.83,7.75,7.83,7.75,7.83,10.0,10.0,0.0
Arabica,Kenya,2012,SL28,Bluish-Green,Washed / Wet,7.75,7.92,7.83,8.0,7.58,7.75,10.0,10.0,0.11
Arabica,Guatemala,2012,Bourbon,Green,Washed / Wet,8.0,7.83,7.67,7.83,7.67,8.0,10.0,10.0,0.11
Arabica,Guatemala,2012,Bourbon,Green,Washed / Wet,7.67,7.83,7.67,8.0,7.67,7.83,10.0,10.0,0.12
Arabica,Mexico,2012,Typica,,Washed / Wet,7.83,7.58,7.67,7.92,7.92,7.83,10.0,10.0,0.13
Arabica,Uganda,2012,Other,Blue-Green,Washed / Wet,7.92,7.83,7.75,7.92,7.67,7.75,10.0,10.0,0.11
Arabica,Peru,,,,,7.67,7.83,7.75,7.75,7.92,7.83,10.0,10.0,0.0
Arabica,Ethiopia,2009,,,,7.42,7.75,7.75,8.0,8.0,7.92,10.0,10.0,0.2
Arabica,Kenya,,SL34,Blue-Green,Washed / Wet,7.92,7.75,7.83,7.75,7.58,7.92,10.0,10.0,0.11
Arabica,Colombia,2016,Other,Blue-Green,Washed / Wet,7.83,7.67,7.58,7.92,7.67,7.83,10.0,10.0,0.0
Arabica,Colombia,2016,Caturra,Green,Washed / Wet,7.92,7.83,7.58,8.0,7.83,7.67,10.0,10.0,0.0
Arabica,Kenya,2013,Peaberry,Bluish-Green,Washed / Wet,7.83,7.83,7.83,7.75,7.58,7.83,10.0,10.0,0.1
Arabica,Guatemala,2014,Pacas,Green,Washed / Wet,7.75,7.83,7.67,7.92,7.75,7.83,10.0,10.0,0.11
Arabica,Guatemala,2014,Bourbon,Green,Washed / Wet,8.0,7.92,7.67,7.58,7.58,7.67,10.0,10.0,0.09
Arabica,Colombia,2013,Caturra,,Washed / Wet,7.67,7.67,7.58,7.75,7.58,8.5,10.0,10.0,0.0
Arabica,Colombia,2013,Caturra,,Washed / Wet,7.75,7.75,7.83,7.75,7.58,8.0,10.0,10.0,0.0
Arabica,Kenya,2013,SL28,Green,Washed / Wet,7.75,7.75,7.75,8.08,7.75,7.75,10.0,10.0,0.0
Arabica,Colombia,2012,Caturra,Green,Washed / Wet,7.67,7.83,7.83,8.0,7.58,7.92,10.0,10.0,0.0
Arabica,Costa Rica,2012,Bourbon,Bluish-Green,Semi-washed / Semi-pulped,7.75,7.83,7.75,8.0,7.83,7.67,10.0,10.0,0.12
Arabica,Colombia,2012,Caturra,Green,Washed / Wet,7.42,7.67,7.75,7.75,8.08,7.83,10.0,10.0,0.11
Arabica,Brazil,2011,Bourbon,Green,Semi-washed / Semi-pulped,8.0,8.0,7.75,7.75,7.58,7.75,10.0,10.0,0.12
Arabica,Brazil,2011,Catuai,Blue-Green,Semi-washed / Semi-pulped,8.5,8.0,7.5,7.75,7.5,7.83,10.0,10.0,0.11
Arabica,Costa Rica,2017,Caturra,Bluish-Green,Washed / Wet,7.92,7.67,7.92,7.75,7.67,7.58,10.0,10.0,0.1
Arabica,Uganda,2016,SL14,Green,Washed / Wet,7.92,7.75,7.67,7.75,7.83,7.75,10.0,10.0,0.11
Arabica,China,2015,Catimor,Green,Washed / Wet,7.75,7.92,7.67,7.83,7.75,7.67,10.0,10.0,0.1
Arabica,Costa Rica,2014,Caturra,Green,Washed / Wet,7.92,7.83,7.83,7.83,7.58,7.58,10.0,10.0,0.11
Arabica,Colombia,2015,Other,Green,Washed / Wet,8.08,7.67,7.83,7.83,7.67,7.67,10.0,10.0,0.12
Arabica,China,2013,Other,Green,Washed / Wet,7.67,8.0,7.75,7.83,7.75,7.58,10.0,10.0,0.0
Arabica,Guatemala,2013,Bourbon,Green,Washed / Wet,8.17,7.83,7.67,7.83,7.67,7.83,10.0,10.0,0.11
Arabica,Kenya,2012,SL28,Blue-Green,Washed / Wet,7.92,7.83,7.67,8.0,7.67,7.75,10.0,10.0,0.11
Arabica,Mexico,2012,Typica,Green,Washed / Wet,8.0,7.92,7.42,8.08,7.5,7.67,10.0,10.0,0.12
Arabica,Mexico,2012,Typica,,Washed / Wet,7.92,7.83,7.75,7.75,7.75,7.83,10.0,10.0,0.11
Arabica,Guatemala,2012,Bourbon,Green,Washed / Wet,7.67,8.0,7.67,8.0,7.5,7.83,10.0,10.0,0.11
Arabica,Brazil,,,,,7.81,7.81,7.88,7.75,7.38,8.25,9.5,10.0,0.0
Arabica,Brazil,,,,,8.17,7.67,7.75,7.75,7.67,7.75,10.0,10.0,0.0
Arabica,Costa Rica,2016,Caturra,Blue-Green,Washed / Wet,7.58,7.83,7.83,8.0,7.67,7.58,10.0,10.0,0.1
Arabica,Indonesia,2017,Mandheling,Blue-Green,Other,7.67,7.67,7.83,7.58,7.83,7.83,10.0,10.0,0.0
Arabica,Colombia,2015,Caturra,Green,Natural / Dry,7.92,7.83,7.75,7.67,7.92,7.67,10.0,10.0,0.0
Arabica,Colombia,2014,Caturra,Green,Washed / Wet,7.92,7.75,7.67,7.92,7.67,7.75,10.0,10.0,0.0
Arabica,Taiwan,2012,Typica,Blue-Green,Washed / Wet,7.83,7.83,7.75,8.0,7.5,7.75,10.0,10.0,0.11
Arabica,United States,2012,Hawaiian Kona,Blue-Green,Natural / Dry,7.92,7.92,7.5,7.83,7.5,7.92,10.0,10.0,0.11
Arabica,Mexico,2012,Pacamara,,Washed / Wet,7.75,7.92,7.75,7.67,7.83,7.67,10.0,10.0,0.12
Arabica,Ethiopia,2009,,,,7.5,7.75,7.83,7.92,7.92,7.75,10.0,10.0,0.2
Arabica,Kenya,2017,SL28,Green,Washed / Wet,7.33,7.58,7.83,7.75,7.75,7.92,10.0,10.0,0.11
Arabica,Honduras,2016,Caturra,Green,,7.92,8.0,7.75,7.67,7.67,7.75,10.0,10.0,0.1
Arabica,Colombia,2016,Caturra,Green,Washed / Wet,7.58,7.75,7.5,7.83,7.67,8.5,10.0,10.0,0.0
Arabica,Honduras,2016,Catuai,Green,Washed / Wet,7.58,7.92,7.58,7.75,7.92,7.75,10.0,10.0,0.11
Arabica,Colombia,2016,,,,7.67,7.67,7.75,7.83,7.75,7.83,10.0,10.0,0.0
Arabica,Colombia,2015,Caturra,Green,Natural / Dry,7.75,7.67,8.0,7.67,8.08,7.83,10.0,10.0,0.11
Arabica,Colombia,2013,Caturra,Green,Washed / Wet,7.75,7.58,7.33,7.83,7.58,8.08,10.0,10.0,0.0
Arabica,Mexico,2012,Typica,Blue-Green,Washed / Wet,8.0,7.75,7.75,7.83,7.5,7.67,10.0,10.0,0.12
Arabica,Brazil,2011,Yellow Bourbon,,,8.17,8.0,7.5,7.75,7.5,7.67,10.0,10.0,0.0
Arabica,Brazil,2011,,,,8.0,8.0,7.5,7.5,7.67,7.75,10.0,10.0,0.02
Arabica,Ethiopia,,,,,7.75,7.75,7.92,7.75,7.5,7.92,10.0,10.0,0.0
Arabica,Guatemala,2009,,,,7.5,7.67,7.75,7.67,7.92,7.92,10.0,10.0,0.04
Arabica,Taiwan,2016,Typica,Blue-Green,Washed / Wet,7.92,7.75,7.75,7.67,7.67,7.83,10.0,10.0,0.12
Arabica,Thailand,2015,Catimor,Green,Natural / Dry,7.83,7.75,7.75,7.42,7.83,7.67,10.0,10.0,0.12
Arabica,Colombia,2016,Caturra,Green,Natural / Dry,7.83,7.58,7.75,7.58,7.67,8.0,10.0,10.0,0.11
Arabica,Guatemala,2016,Caturra,Green,Washed / Wet,7.75,7.75,7.58,7.92,7.75,7.75,10.0,10.0,0.11
Arabica,Guatemala,2015,Caturra,Green,Washed / Wet,7.75,7.92,7.5,8.08,7.58,7.67,10.0,10.0,0.1
Arabica,China,2015,Catimor,Green,Natural / Dry,7.83,7.83,7.58,7.75,7.75,7.75,10.0,10.0,0.1
Arabica,Colombia,2015,Caturra,Green,Washed / Wet,7.67,7.67,7.75,7.75,7.67,7.92,10.0,10.0,0.11
Arabica,Colombia,2015,Caturra,Green,Washed / Wet,7.83,7.67,7.75,7.58,7.92,7.75,10.0,10.0,0.12
Arabica,Colombia,2015,Other,Green,Washed / Wet,7.83,7.75,7.83,7.58,7.67,7.75,10.0,10.0,0.12
Arabica,Colombia,2015,Caturra,Green,Natural / Dry,7.42,7.67,7.83,7.75,7.92,7.83,10.0,10.0,0.12
Arabica,Tanzania,2014,Other,Green,Washed / Wet,7.83,7.67,7.75,7.83,7.67,7.67,10.0,10.0,0.12
Arabica,Tanzania,2014,Other,Green,Washed / Wet,7.83,7.75,7.75,7.75,7.67,7.75,10.0,10.0,0.12
Arabica,Guatemala,2014,Bourbon,Green,Other,7.83,7.83,7.5,7.92,7.58,7.75,10.0,10.0,0.1
Arabica,Colombia,2013,Caturra,Green,Washed / Wet,7.58,7.5,7.75,7.83,7.92,7.83,10.0,10.0,0.11
Arabica,United States,2012,Hawaiian Kona,Bluish-Green,Natural / Dry,7.33,7.92,7.92,7.92,7.92,8.08,10.0,9.33,0.11
Arabica,Mexico,2012,Typica,Green,Semi-washed / Semi-pulped,7.83,7.92,7.67,7.83,7.5,7.75,10.0,10.0,0.12
Arabica,Mexico,2012,Bourbon,Green,Washed / Wet,7.83,7.83,7.75,7.67,7.83,7.58,10.0,10.0,0.12
Arabica,Mexico,2012,Bourbon,Bluish-Green,Washed / Wet,7.83,7.92,7.67,7.75,7.5,7.75,10.0,10.0,0.1
Arabica,Uganda,2012,Other,Green,Natural / Dry,8.17,7.75,7.58,7.67,7.83,7.58,10.0,10.0,0.13
Arabica,Guatemala,2017,Bourbon,Green,Washed / Wet,7.75,7.83,7.58,7.83,7.67,7.75,10.0,10.0,0.13
Arabica,Colombia,2016,Caturra,Green,Washed / Wet,7.83,7.75,7.58,7.67,7.75,7.83,10.0,10.0,0.0
Arabica,Costa Rica,2016,Caturra,Bluish-Green,Washed / Wet,7.92,7.75,7.67,7.67,7.5,7.67,10.0,10.0,0.09
Arabica,Guatemala,2016,Caturra,Green,Washed / Wet,7.75,7.75,7.58,8.0,7.67,7.83,10.0,10.0,0.11
Arabica,Guatemala,2016,Caturra,Green,Washed / Wet,7.75,7.92,7.58,7.92,7.67,7.67,10.0,10.0,0.1
Arabica,Guatemala,2016,Bourbon,Green,Washed / Wet,7.58,7.83,7.58,7.83,7.83,7.67,10.0,10.0,0.1
Arabica,Colombia,2015,Caturra,Bluish-Green,Washed / Wet,8.0,7.5,7.5,7.67,8.0,7.83,10.0,10.0,0.0
